"SpeciesSearched","Scientific.Name","OrigOccurrences","Occurrences","StudyArea_Occur","Keys","Class","Family","Genus","Species"
"Mantis religiosa","Mantis religiosa",89311,73215,NA,6258028,"Insecta","Mantidae","Mantis","Mantis_religiosa"
"Iris oratoria","Iris oratoria",7349,6433,NA,1404300,"Insecta","Eremiaphilidae","Iris","Iris_oratoria"
