"","sp","long","lat","continent","year"
"1","Iris oratoria",-118.455078,34.277645,"NORTH_AMERICA",2020
"2","Iris oratoria",-110.956538,32.312443,"NORTH_AMERICA",2022
"3","Iris oratoria",-111.009511,29.050265,"NORTH_AMERICA",2025
"4","Iris oratoria",-121.761763,38.536972,"NORTH_AMERICA",2023
"5","Iris oratoria",-117.720117,34.109695,"NORTH_AMERICA",2023
"6","Iris oratoria",-111.929613,33.32474,"NORTH_AMERICA",2024
"7","Iris oratoria",-110.932738,32.225395,"NORTH_AMERICA",2019
"8","Iris oratoria",-115.989088,33.639888,"NORTH_AMERICA",2025
"9","Iris oratoria",-117.263961,33.952072,"NORTH_AMERICA",2023
"10","Iris oratoria",-121.349386,38.544559,"NORTH_AMERICA",2024
"11","Iris oratoria",-118.46872,34.174235,"NORTH_AMERICA",2024
"12","Iris oratoria",-116.656928,33.980628,"NORTH_AMERICA",2024
"13","Iris oratoria",-112.101776,33.699738,"NORTH_AMERICA",2023
"14","Iris oratoria",-118.192029,34.153803,"NORTH_AMERICA",2023
"15","Iris oratoria",-117.711386,34.145567,"NORTH_AMERICA",2024
"16","Iris oratoria",-113.618667,37.050817,"NORTH_AMERICA",2023
"17","Iris oratoria",-117.792285,33.657445,"NORTH_AMERICA",2022
"18","Iris oratoria",-116.388712,33.240754,"NORTH_AMERICA",2020
"19","Iris oratoria",-118.116354,34.666954,"NORTH_AMERICA",2022
"20","Iris oratoria",-122.147368,39.422771,"NORTH_AMERICA",2022
"21","Iris oratoria",-117.790085,34.066971,"NORTH_AMERICA",2024
"22","Iris oratoria",-117.679556,33.869651,"NORTH_AMERICA",2024
"23","Iris oratoria",-117.146828,34.059044,"NORTH_AMERICA",2020
"24","Iris oratoria",-116.408675,33.7798,"NORTH_AMERICA",2022
"25","Iris oratoria",-115.521439,33.120975,"NORTH_AMERICA",2024
"26","Iris oratoria",-117.1448,33.519163,"NORTH_AMERICA",2023
"27","Iris oratoria",-117.112641,33.597527,"NORTH_AMERICA",2024
"28","Iris oratoria",-116.940765,33.945999,"NORTH_AMERICA",2024
"29","Iris oratoria",-115.615202,33.17752,"NORTH_AMERICA",2016
"30","Iris oratoria",-115.431855,33.236295,"NORTH_AMERICA",2024
"31","Iris oratoria",-118.448974,35.132188,"NORTH_AMERICA",2024
"32","Iris oratoria",-119.122592,35.365331,"NORTH_AMERICA",2024
"33","Iris oratoria",-115.554287,32.773398,"NORTH_AMERICA",2024
"34","Iris oratoria",-118.100786,34.004879,"NORTH_AMERICA",2021
"35","Iris oratoria",-120.860153,37.521653,"NORTH_AMERICA",2021
"36","Iris oratoria",-116.351806,34.135578,"NORTH_AMERICA",2022
"37","Iris oratoria",-112.777347,33.654131,"NORTH_AMERICA",2024
"38","Iris oratoria",-115.999828,32.730172,"NORTH_AMERICA",2024
"39","Iris oratoria",-116.005997,33.612988,"NORTH_AMERICA",2024
"40","Iris oratoria",-105.493947,28.263203,"NORTH_AMERICA",2024
"41","Iris oratoria",-117.429717,33.928722,"NORTH_AMERICA",2023
"42","Iris oratoria",-116.317544,34.123726,"NORTH_AMERICA",2024
"43","Iris oratoria",-116.357934,33.777105,"NORTH_AMERICA",2022
"44","Iris oratoria",-121.444531,38.269967,"NORTH_AMERICA",2019
"45","Iris oratoria",-117.029836,32.846625,"NORTH_AMERICA",2022
