"","sp","long","lat","continent","year"
"101","Iris oratoria",23.099436,40.648328,"EUROPE",2024
"102","Iris oratoria",-3.407251,37.182281,"EUROPE",2024
"103","Iris oratoria",4.88615,43.53518,"EUROPE",2021
"104","Iris oratoria",2.853647,42.729478,"EUROPE",2024
"105","Iris oratoria",-6.886666,40.726104,"EUROPE",2024
"106","Iris oratoria",-8.651238,38.596231,"EUROPE",2024
"107","Iris oratoria",3.87361,43.629768,"EUROPE",2024
"108","Iris oratoria",-3.068065,36.761607,"EUROPE",2024
"109","Iris oratoria",-8.069918,37.145525,"EUROPE",2024
"110","Iris oratoria",0.070252,42.073699,"EUROPE",2022
"111","Iris oratoria",-7.558456,37.646889,"EUROPE",2022
"112","Iris oratoria",4.39207,43.9436,"EUROPE",2011
"113","Iris oratoria",4.190987,43.632287,"EUROPE",2024
"114","Iris oratoria",4.39565,44.393821,"EUROPE",2024
"115","Iris oratoria",-5.449006,40.006636,"EUROPE",2024
"116","Iris oratoria",-2.932398,37.710784,"EUROPE",2024
"117","Iris oratoria",-4.124409,36.903104,"EUROPE",2024
"118","Iris oratoria",9.53169,40.301244,"EUROPE",2024
"119","Iris oratoria",-0.742439,42.338397,"EUROPE",2024
"120","Iris oratoria",-2.077676,37.650848,"EUROPE",2024
"121","Iris oratoria",0.954164,41.919661,"EUROPE",2018
"122","Iris oratoria",28.073275,36.183845,"EUROPE",2024
"123","Iris oratoria",-4.52599,38.028552,"EUROPE",2024
"124","Iris oratoria",-5.028809,38.603516,"EUROPE",2024
"125","Iris oratoria",-7.606465,37.145815,"EUROPE",2024
"126","Iris oratoria",-3.758804,37.163874,"EUROPE",2024
"127","Iris oratoria",-4.55355,37.038529,"EUROPE",2018
"128","Iris oratoria",-4.149933,39.814503,"EUROPE",2024
"129","Iris oratoria",-4.92013,37.269146,"EUROPE",2023
"130","Iris oratoria",-0.12586,38.689543,"EUROPE",2022
"131","Iris oratoria",-8.217039,38.298789,"EUROPE",2024
"132","Iris oratoria",3.28983,43.3172,"EUROPE",2020
"133","Iris oratoria",1.853725,41.665531,"EUROPE",2023
"134","Iris oratoria",4.84236,43.851261,"EUROPE",2024
"135","Iris oratoria",-7.531492,39.595603,"EUROPE",2024
"136","Iris oratoria",20.748745,39.162998,"EUROPE",2024
"137","Iris oratoria",-7.466581,38.410117,"EUROPE",2020
"138","Iris oratoria",-8.370597,38.001716,"EUROPE",2024
"139","Iris oratoria",2.384127,41.641699,"EUROPE",2024
"140","Iris oratoria",24.257942,35.362633,"EUROPE",2021
"141","Iris oratoria",-4.570855,38.170066,"EUROPE",2024
"142","Iris oratoria",-8.530563,39.408275,"EUROPE",2024
"143","Iris oratoria",3.02019,43.16504,"EUROPE",NA
"144","Iris oratoria",25.310273,42.131889,"EUROPE",2024
"145","Iris oratoria",-1.509205,39.539795,"EUROPE",2021
"146","Iris oratoria",-2.067931,38.782077,"EUROPE",2024
