"","sp","long","lat","continent","year"
"1","Iris oratoria",-2.075307,37.481095,"EUROPE",2025
"2","Iris oratoria",-7.44885,38.342125,"EUROPE",2025
"3","Iris oratoria",23.642744,38.007089,"EUROPE",2025
"4","Iris oratoria",23.643473,38.006989,"EUROPE",2025
"5","Iris oratoria",-4.334999,37.606783,"EUROPE",2025
"6","Iris oratoria",-2.074318,37.089831,"EUROPE",2025
"7","Iris oratoria",0.024862,38.658302,"EUROPE",2025
"8","Iris oratoria",0.024625,38.657475,"EUROPE",2025
"9","Iris oratoria",-1.511649,37.564852,"EUROPE",2025
"10","Iris oratoria",-1.514925,37.562609,"EUROPE",2025
"11","Iris oratoria",-1.511067,37.564403,"EUROPE",2025
"12","Iris oratoria",23.641822,38.00875,"EUROPE",2025
"13","Iris oratoria",-1.52404,37.429839,"EUROPE",2025
"14","Iris oratoria",-7.296868,38.14856,"EUROPE",2025
"15","Iris oratoria",-4.783309,37.873471,"EUROPE",2025
"16","Iris oratoria",-0.454807,39.047887,"EUROPE",2025
"17","Iris oratoria",5.025073,43.345662,"EUROPE",2025
"18","Iris oratoria",-1.02,38.51,"EUROPE",2025
"19","Iris oratoria",-6.019933,38.218224,"EUROPE",2025
"20","Iris oratoria",-2.346127,39.440147,"EUROPE",2025
"21","Iris oratoria",-3.630047,37.679113,"EUROPE",2025
"22","Iris oratoria",-0.905513,38.754758,"EUROPE",2025
"23","Iris oratoria",-0.080555,38.918205,"EUROPE",2025
"24","Iris oratoria",-6.548903,37.72285,"EUROPE",2025
"25","Iris oratoria",-0.215527,39.041732,"EUROPE",2025
"26","Iris oratoria",-0.224026,39.040413,"EUROPE",2025
"27","Iris oratoria",-0.231648,39.055054,"EUROPE",2025
"28","Iris oratoria",-0.366156,39.782546,"EUROPE",2025
"29","Iris oratoria",-0.445962,38.785534,"EUROPE",2025
"30","Iris oratoria",-6.08025,37.791562,"EUROPE",2025
"31","Iris oratoria",9.49795,42.595587,"EUROPE",2025
"32","Iris oratoria",-4.345834,37.595165,"EUROPE",2025
"33","Iris oratoria",-2.483022,39.401228,"EUROPE",2025
"34","Iris oratoria",-5.651235,36.86312,"EUROPE",2024
"35","Iris oratoria",-9.181816,38.898886,"EUROPE",2024
"36","Iris oratoria",-5.605227,36.533405,"EUROPE",2024
"37","Iris oratoria",-0.713901,38.308682,"EUROPE",2024
"38","Iris oratoria",-0.714208,38.308294,"EUROPE",2024
"39","Iris oratoria",-1.067145,37.943173,"EUROPE",2024
"40","Iris oratoria",24.489275,35.362353,"EUROPE",2024
"41","Iris oratoria",-3.96629,39.832286,"EUROPE",2024
"42","Iris oratoria",-0.825901,38.06337,"EUROPE",2024
"43","Iris oratoria",-7.878017,39.106219,"EUROPE",2024
"44","Iris oratoria",0.006688,40.0726,"EUROPE",2024
"45","Iris oratoria",-0.86479,38.282437,"EUROPE",2024
"46","Iris oratoria",-3.58707,37.184381,"EUROPE",2024
"47","Iris oratoria",-3.567245,37.192577,"EUROPE",2024
"48","Iris oratoria",-0.987033,37.937079,"EUROPE",2024
"49","Iris oratoria",-1.364736,37.904075,"EUROPE",2024
"50","Iris oratoria",5.81884,43.237794,"EUROPE",2024
"51","Iris oratoria",-7.435684,37.181692,"EUROPE",2024
"52","Iris oratoria",-0.878561,38.278073,"EUROPE",2024
"53","Iris oratoria",-0.473325,39.927883,"EUROPE",2024
"54","Iris oratoria",-7.435341,37.177315,"EUROPE",2024
"55","Iris oratoria",-0.782316,38.264266,"EUROPE",2024
"56","Iris oratoria",-8.037153,37.750384,"EUROPE",2024
"57","Iris oratoria",5.378565,43.305806,"EUROPE",2024
"58","Iris oratoria",2.797417,43.111776,"EUROPE",2024
"59","Iris oratoria",-8.037188,37.750346,"EUROPE",2024
"60","Iris oratoria",2.119359,41.293614,"EUROPE",2024
"61","Iris oratoria",-7.800532,38.944728,"EUROPE",2024
"62","Iris oratoria",-0.942802,39.496055,"EUROPE",2024
"63","Iris oratoria",-0.975346,39.589488,"EUROPE",2024
"64","Iris oratoria",3.093461,43.107281,"EUROPE",2024
"65","Iris oratoria",-4.323108,37.625793,"EUROPE",2024
"66","Iris oratoria",-5.594541,36.528794,"EUROPE",2024
"67","Iris oratoria",-5.932032,36.350725,"EUROPE",2024
"68","Iris oratoria",-2.043992,37.768047,"EUROPE",2024
"69","Iris oratoria",-6.049012,39.829814,"EUROPE",2024
"70","Iris oratoria",-8.59391,37.137028,"EUROPE",2024
"71","Iris oratoria",-0.36347,39.668157,"EUROPE",2024
"72","Iris oratoria",-7.467693,38.351861,"EUROPE",2024
"73","Iris oratoria",34.033749,35.456928,"EUROPE",2024
"74","Iris oratoria",-0.017694,38.751111,"EUROPE",2024
"75","Iris oratoria",-0.0181,38.749115,"EUROPE",2024
"76","Iris oratoria",33.542641,35.286674,"EUROPE",2024
"77","Iris oratoria",-5.417873,36.701221,"EUROPE",2024
"78","Iris oratoria",-5.418052,36.700974,"EUROPE",2024
"79","Iris oratoria",-5.419919,36.698277,"EUROPE",2024
"80","Iris oratoria",-0.422992,39.663597,"EUROPE",2024
"81","Iris oratoria",26.118153,40.941363,"EUROPE",2024
"82","Iris oratoria",-3.497629,40.367787,"EUROPE",2024
"83","Iris oratoria",0.138711,38.706457,"EUROPE",2024
"84","Iris oratoria",-0.274708,39.080265,"EUROPE",2024
"85","Iris oratoria",-9.367487,38.721048,"EUROPE",2024
"86","Iris oratoria",2.697673,41.636678,"EUROPE",2024
"87","Iris oratoria",2.698024,41.636562,"EUROPE",2024
"88","Iris oratoria",-0.816672,39.491152,"EUROPE",2024
"89","Iris oratoria",-0.120161,38.704539,"EUROPE",2024
"90","Iris oratoria",-0.253148,39.874007,"EUROPE",2024
"91","Iris oratoria",9.622767,40.754785,"EUROPE",2024
"92","Iris oratoria",-0.292042,39.880395,"EUROPE",2024
"93","Iris oratoria",5.513007,43.216578,"EUROPE",2024
"94","Iris oratoria",-0.879991,38.28102,"EUROPE",2024
"95","Iris oratoria",19.996575,39.44091,"EUROPE",2024
"96","Iris oratoria",6.449927,43.33288,"EUROPE",2024
"97","Iris oratoria",-0.878626,38.278308,"EUROPE",2024
"98","Iris oratoria",15.214464,38.185373,"EUROPE",2024
"99","Iris oratoria",3.201212,41.987687,"EUROPE",2024
"100","Iris oratoria",-6.712001,39.895031,"EUROPE",2024
"101","Iris oratoria",6.442953,43.015507,"EUROPE",2024
"102","Iris oratoria",5.95,51.4,"EUROPE",2024
"103","Iris oratoria",-4.883479,36.584553,"EUROPE",2024
"104","Iris oratoria",-7.88427,37.692948,"EUROPE",2024
"105","Iris oratoria",24.473126,35.366233,"EUROPE",2024
"106","Iris oratoria",-0.815675,39.369215,"EUROPE",2024
"107","Iris oratoria",-0.540899,38.746045,"EUROPE",2024
"108","Iris oratoria",0.589517,40.62608,"EUROPE",2024
"109","Iris oratoria",-7.646392,37.141742,"EUROPE",2024
"110","Iris oratoria",5.502015,43.202549,"EUROPE",2024
"111","Iris oratoria",-0.499528,40.095725,"EUROPE",2024
"112","Iris oratoria",19.90991,39.611408,"EUROPE",2024
"113","Iris oratoria",5.434352,43.22142,"EUROPE",2024
"114","Iris oratoria",1.707087,41.359973,"EUROPE",2024
"115","Iris oratoria",-8.262495,38.737734,"EUROPE",2024
"116","Iris oratoria",-8.258504,38.602187,"EUROPE",2024
"117","Iris oratoria",26.205525,41.111633,"EUROPE",2024
"118","Iris oratoria",26.228708,41.122227,"EUROPE",2024
"119","Iris oratoria",2.942675,42.984778,"EUROPE",2024
"120","Iris oratoria",1.479118,41.192949,"EUROPE",2024
"121","Iris oratoria",26.228571,41.131218,"EUROPE",2024
"122","Iris oratoria",-0.487577,39.706137,"EUROPE",2024
"123","Iris oratoria",-6.216328,36.529163,"EUROPE",2024
"124","Iris oratoria",-4.781923,37.874996,"EUROPE",2024
"125","Iris oratoria",-9.057281,38.872683,"EUROPE",2024
"126","Iris oratoria",3.10995,42.17389,"EUROPE",2024
"127","Iris oratoria",3.109928,42.17389,"EUROPE",2024
"128","Iris oratoria",2.928809,43.07326,"EUROPE",2024
"129","Iris oratoria",-0.072725,39.872025,"EUROPE",2024
"130","Iris oratoria",5.489528,43.455046,"EUROPE",2024
"131","Iris oratoria",-3.570078,40.411725,"EUROPE",2024
"132","Iris oratoria",12.6963,37.738067,"EUROPE",2024
"133","Iris oratoria",24.523731,35.36798,"EUROPE",2024
"134","Iris oratoria",28.961941,41.252129,"EUROPE",2024
"135","Iris oratoria",-1.089275,39.233472,"EUROPE",2024
"136","Iris oratoria",-2.703907,36.692265,"EUROPE",2024
"137","Iris oratoria",5.924498,43.368593,"EUROPE",2024
"138","Iris oratoria",17.513969,40.294864,"EUROPE",2024
"139","Iris oratoria",23.524731,40.015593,"EUROPE",2024
"140","Iris oratoria",25.411622,35.306395,"EUROPE",2024
"141","Iris oratoria",-5.47717,36.254785,"EUROPE",2024
"142","Iris oratoria",-7.692675,37.141039,"EUROPE",2024
"143","Iris oratoria",6.458938,43.39811,"EUROPE",2024
"144","Iris oratoria",26.768153,40.663333,"EUROPE",2024
"145","Iris oratoria",11.193791,42.500373,"EUROPE",2024
"146","Iris oratoria",-5.155361,36.76365,"EUROPE",2024
"147","Iris oratoria",2.157011,41.448774,"EUROPE",2024
"148","Iris oratoria",-2.703302,36.69232,"EUROPE",2024
"149","Iris oratoria",-2.70276,36.692413,"EUROPE",2024
"150","Iris oratoria",17.260332,40.801249,"EUROPE",2024
"151","Iris oratoria",20.540131,38.378161,"EUROPE",2024
"152","Iris oratoria",5.802052,43.419308,"EUROPE",2024
"153","Iris oratoria",-8.675453,37.084366,"EUROPE",2024
"154","Iris oratoria",23.099436,40.648328,"EUROPE",2024
"155","Iris oratoria",-2.592172,36.834265,"EUROPE",2024
"156","Iris oratoria",-2.592163,36.83427,"EUROPE",2024
"157","Iris oratoria",-2.592173,36.834232,"EUROPE",2024
"158","Iris oratoria",-2.592258,36.834223,"EUROPE",2024
"159","Iris oratoria",-2.591998,36.834283,"EUROPE",2024
"160","Iris oratoria",-2.59195,36.834258,"EUROPE",2024
"161","Iris oratoria",5.613962,43.192478,"EUROPE",2024
"162","Iris oratoria",-3.407251,37.182281,"EUROPE",2024
"163","Iris oratoria",3.187295,43.183038,"EUROPE",2024
"164","Iris oratoria",4.878653,43.563587,"EUROPE",2024
"165","Iris oratoria",2.839979,42.687368,"EUROPE",2024
"166","Iris oratoria",-6.886666,40.726104,"EUROPE",2024
"167","Iris oratoria",9.517391,42.580482,"EUROPE",2024
"168","Iris oratoria",24.470984,35.369308,"EUROPE",2024
"169","Iris oratoria",6.426539,43.34507,"EUROPE",2024
"170","Iris oratoria",-8.651238,38.596231,"EUROPE",2024
"171","Iris oratoria",-7.449379,38.344545,"EUROPE",2024
"172","Iris oratoria",3.815487,43.642029,"EUROPE",2024
"173","Iris oratoria",-3.082366,36.754408,"EUROPE",2024
"174","Iris oratoria",-7.452506,38.343497,"EUROPE",2024
"175","Iris oratoria",-8.069918,37.145525,"EUROPE",2024
"176","Iris oratoria",-7.467098,38.350183,"EUROPE",2024
"177","Iris oratoria",0.064356,42.069336,"EUROPE",2024
"178","Iris oratoria",7.140041,43.555353,"EUROPE",2024
"179","Iris oratoria",-7.558848,37.68952,"EUROPE",2024
"180","Iris oratoria",4.407878,43.918877,"EUROPE",2024
"181","Iris oratoria",8.263189,40.879078,"EUROPE",2024
"182","Iris oratoria",4.135611,43.728401,"EUROPE",2024
"183","Iris oratoria",4.135718,43.728333,"EUROPE",2024
"184","Iris oratoria",4.39565,44.393821,"EUROPE",2024
"185","Iris oratoria",9.632053,40.285329,"EUROPE",2024
"186","Iris oratoria",-5.449006,40.006636,"EUROPE",2024
"187","Iris oratoria",3.165064,42.109676,"EUROPE",2024
"188","Iris oratoria",8.860078,40.977383,"EUROPE",2024
"189","Iris oratoria",25.37282,37.056335,"EUROPE",2024
"190","Iris oratoria",-2.932398,37.710784,"EUROPE",2024
"191","Iris oratoria",2.642125,41.607595,"EUROPE",2024
"192","Iris oratoria",2.642055,41.607608,"EUROPE",2024
"193","Iris oratoria",27.182117,36.814205,"EUROPE",2024
"194","Iris oratoria",3.027347,42.766374,"EUROPE",2024
"195","Iris oratoria",-4.124409,36.903104,"EUROPE",2024
"196","Iris oratoria",9.531697,40.301277,"EUROPE",2024
"197","Iris oratoria",9.53169,40.301244,"EUROPE",2024
"198","Iris oratoria",-0.742439,42.338397,"EUROPE",2024
"199","Iris oratoria",-2.085923,37.667527,"EUROPE",2024
"200","Iris oratoria",0.958477,41.913834,"EUROPE",2024
"201","Iris oratoria",28.073275,36.183845,"EUROPE",2024
"202","Iris oratoria",-4.52599,38.028552,"EUROPE",2024
